description,description_link,country,project_title,notice_type,language,publish_date,project_link,project_id,status,team_leader,borrower,implementing_agency,total_project_cost,commitment_amount,closing_date
Travaux de normalisation de salle de classes à ECOLE PRIMAIRE ZOUMA et à l'ECOLE PRIMAIRE de YAYO,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00217560,Burkina Faso,Burkina Faso Emergency Local Development and Resilience Project - P175382,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175382,P175382,Active,"Malaika Becoulet , Erick Abiassi, Moussa Dieng",BURKINA FASO,Directorate in charge of Territorial Development,US$ 350.00 million,US$ 350.00 million,"December 31, 2025"
Travaux de normalisation de salle de classes et de latrines PMR à BOLONTOU AB,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00218053,Burkina Faso,Burkina Faso Emergency Local Development and Resilience Project - P175382,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175382,P175382,Active,"Malaika Becoulet , Erick Abiassi, Moussa Dieng",BURKINA FASO,Directorate in charge of Territorial Development,US$ 350.00 million,US$ 350.00 million,"December 31, 2025"
Travaux de normalisation de salle de classes et de latrines PMR à BOLONTOU AB,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00218054,Burkina Faso,Burkina Faso Emergency Local Development and Resilience Project - P175382,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175382,P175382,Active,"Malaika Becoulet , Erick Abiassi, Moussa Dieng",BURKINA FASO,Directorate in charge of Territorial Development,US$ 350.00 million,US$ 350.00 million,"December 31, 2025"
"Design, Engineering, Supply, Installation, Testing & Commissioning of 132 KV Double Circuit Transmission line from Jadugoda (New) - Dhalbhumgarh (63.4 km).",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00318155,India,Jharkhand Power System Improvement Project - P162086,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P162086,P162086,Active,Kavita Saraswat,Government of India,"Jharkhand Bijli Vitran Nigam Ltd.,Jharkhand Urja Sancharan Nigam Ltd.",US$ 465.20 million,US$ 310.00 million,"March 31, 2026"
Interim Monitoring and Evaluation Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00323019,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
"Consultancy Service for Evaluation , Preparation of Implementation Completion and Result Report of Economic Opportunities Program.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00342906,Ethiopia,Ethiopia Economic Opportunities Program - P163829,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P163829,P163829,Active,"Senidu Fanuel , Alejandro Espinosa-Wang",Ministry of Finance,Ethiopian Investment Commission,US$ 333.60 million,US$ 224.25 million,"June 30, 2025"
RECRUTEMENT D'UN (E) CONSULTANT (E) INDIVIDUEL (LE) POUR L'APPUI AU SUIVI DU VOLET ENVIRONNEMENTAL DES ACTIVITÉS DE CLÔTURE DU PITN2R,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00348399,Benin,Digital Rural Transformation Project - P162599,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P162599,P162599,Active,"Xavier Decoster , Tenin Dicko, Senou Houssou",Republic of Benin,Ministère du Numérique et de la Digitalisation,US$ 100.00 million,US$ 100.00 million,"June 30, 2025"
TA Consultancy on Feasibility Studies and Detailed Engineering Design (FS DED),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00349306,Philippines,Philippine Fisheries and Coastal Resiliency Project - P174137,Request for Expression of Interest,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174137,P174137,Active,"Jingjie Chu , Milen Dyoulgerov Vollen",The Republic of the Philippines,Department of Agriculture - Bureau of Fisheries and Aquatic Resources,US$ 237.96 million,US$ 176.02 million,"December 31, 2029"
Contractualisation avec l'ONG ADESOL pour la mise en œuvre des activités du projet SWEDD+ dans la province du LAC,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00351371,Western and Central Africa,Sub-Saharan Africa Women’s Empowerment and Demographic Dividend Plus Project - P176693,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P176693,P176693,Active,"Eleonora Cavagnero , Djibrilla Karamoko, Kofi Amponsah, Teegwende Porgo, Olga Guerrero Horas","Ministry of Urban Planning, Housing, Estates, Territorial Planning and Population Mali,Burkina Faso,Republic of Chad,Republic of Togo,Republic of The Gambia,Ministry of Economy and Finance, Islamic Republic of Mauritania,Republic of Senegal","Economic Community of West African States (ECOWAS),Ministry of Health Burkina Faso,Ministry of Economic Prospects and International Cooperation Chad,Economic Community of Central African States (ECCAS),Ministry of Development Planning and Cooperation Togo,Ministry of Women, Family and Child Protection Senegal,Ministry of Health The Gambia",US$ 589.00 million,US$ 460.00 million,"December 31, 2028"
"Achat de 20 000 sacs de 25 kg de riz, 20 000 sacs de 25 kg de la farine ,20 000 sacs de 25 kg du sucre et 6667 cartons de l'huile alimentaire",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00352886,Djibouti,Social Protection Emergency Crisis Response Project - P178992,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178992,P178992,Active,Alex Kamurase,Djibouti,Ministry of Social Affairs and Solidarity,US$ 30.00 million,US$ 30.00 million,"September 30, 2025"
